timestamp,I_known,Rs_mean,Rs_sd,empirical_error_percent,grounded_error_percent
2026-06-25T19:37:33,0.5,27.476568,0.051884560979158965,-12.446210214159347,-18.230966192966942
2026-06-25T19:42:17,0.5,27.66830733333333,0.0684315437596811,-13.05295153310224,-18.797619578755487
2026-06-25T19:45:39,0.5,27.566744666666665,0.029927796399557175,-12.732617224214039,-18.49845003969725
2026-06-26T11:28:27,0.05,87.24035466666665,1.1304416255416843,2.842876684905112,14.175229368181462
2026-06-26T11:30:39,0.05,90.87242933333333,0.3277010157648804,-1.2676440725426303,9.611766487400804
2026-06-26T11:31:55,0.05,91.700576,0.3358124813880531,-2.159294649017416,8.621864100702762
2026-06-26T11:34:08,0.05,92.32267200000001,0.03523538494185015,-2.818572701931949,7.889939583076223
2026-06-26T11:43:23,0.15,43.66298666666666,0.021665669187296715,-17.967815954391916,-11.166194269022405
2026-06-26T11:44:59,0.15,43.730285333333335,0.04247747682400022,-18.094059279079673,-11.302904940701094
2026-06-26T11:46:21,0.15,43.72139866666666,0.0360935376671956,-18.07741134888063,-11.284876662966802
2026-06-26T11:48:06,0.15,43.64167066666666,0.10667606744407518,-17.927748789033572,-11.12280497218672
2026-06-26T11:51:29,0.3,32.299924,0.17858031189355725,-27.607978559565346,-25.124224674195947
2026-06-26T11:54:48,0.3,32.791064666666664,0.017178891039100502,-28.692257646963974,-26.245705131891533
2026-06-26T11:57:52,0.3,32.74632733333333,0.03517408189751665,-28.594838531640846,-26.14494358875138
2026-06-26T12:41:29,0.02,187.83200000000002,0.8765414993028064,11.629997691463814,24.924396584311257
2026-06-26T12:44:56,0.02,191.279,0.15364569632762476,9.618336181091676,22.6731594122949
2026-06-26T12:48:45,0.02,191.93966666666665,0.202951554153528,9.241023966123212,22.250911792895103
2026-06-26T12:50:45,0.02,192.51133333333334,0.14809568978648008,8.91663032678439,21.887885003606815
2026-06-26T12:57:06,0.02,192.38366666666664,0.1896690099445234,8.988907892646997,21.968770352426095
2026-06-26T13:03:23,0.02,192.49699999999999,0.25271921177464934,8.92474026287701,21.89696077977505
2026-06-26T13:10:48,0.02,190.072,2.36234396310106,10.314437299460398,23.452161597838494
2026-06-26T14:08:43,0.01,312.3706666666667,0.1969805404940891,,
2026-06-26T14:18:53,0.01,317.60766666666666,1.5946354860385255,,
2026-06-26T14:23:48,0.01,318.7343333333333,0.4790013917864169,,
2026-06-26T14:37:11,0.03,132.26582133333332,1.291504885995147,8.310383254002156,20.868339232495636
2026-06-26T14:38:31,0.03,136.35866666666666,0.5939076808169306,5.059415365497162,17.240440615792583
2026-06-26T14:39:51,0.03,138.411,0.2731977305908633,3.5016133112159276,15.502020517025318
2026-06-26T14:42:49,0.03,139.3743333333333,0.16781636789459384,2.786226541128153,14.703688831626048
2026-06-29T14:14:29,0.03,107.98589333333332,0.08316422359003643,32.66327070886581,48.04480167084162,manual
